Run;Error
1;8.0509157186225
2;8.15261815360467
3;8.12854643711508
4;8.21883259200924
5;8.09153848697452
6;7.99131991927999
7;8.02774168703937
8;8.12503961012705
9;8.05342569493416
10;8.04767163156737
11;8.16284471805906
12;8.08731817839261
13;8.12264430472897
14;8.24482778787463
15;8.06867296802914
16;8.02016828797367
17;8.01173241777403
18;8.11547418573879
19;8.37379372603905
20;8.17761946059837
21;10.9069259931854
22;8.00053122549609
23;8.01607238373239
24;8.0303188876936
25;7.99952140560947
26;8.04893961672104
27;8.16078407779127
28;8.24151885858429
29;8.08520171067421
30;8.07486924461571
31;8.09325765351054
32;8.3373154405119
33;8.03726813938235
34;8.24804649778039
35;8.05834718200587
36;8.04679883382412
37;11.2360710927815
38;8.17102989781625
39;7.99562957888143
40;8.03645335842111
41;8.18414046940403
42;7.98376377546124
43;8.03901133421565
44;10.9059619951313
45;8.13457746770004
46;8.03612502275691
47;8.13288548119231
48;8.07547363919473
49;8.20233958006194
50;8.28944313355537
51;8.04649882641039
52;8.28053727144538
53;8.03594627845162
54;8.08105660425458
55;8.17983035714468
56;8.17333864241179
57;8.07457603259827
58;8.04600018311546
59;8.08880190516623
60;8.03996920679318
61;8.14038366433107
62;8.28803001680971
63;8.10578348027683
64;8.14088275934647
65;8.01866443919073
66;8.29911076870098
67;8.20304765471389
68;8.14418826178453
69;8.11355414786346
70;7.99495367367627
71;8.10391753717292
72;8.06475298827621
73;7.98942979118012
74;7.98998976840779
75;8.04276235774282
76;8.06111267148106
77;8.11522280856685
78;10.9014124456853
79;7.98527378527269
80;8.02414380422457
81;8.14149707074511
82;8.1231930817206
83;8.13605522878319
84;8.14888383521342
85;8.00492697562952
86;8.04446230323618
87;8.05741434003387
88;8.02693026694587
89;8.03633285589869
90;8.02272591326038
91;8.04494370288435
92;8.25155794653253
93;8.04797163135107
94;8.0895806668405
95;8.00125487457952
96;8.00772021751404
97;8.0564098670996
98;8.00672065626496
99;8.11420005810602
100;8.04692009509985
