Run;Error
1;14.6344256455123
2;34.9337014356644
3;13.993756221183
4;13.993756221183
5;17.2822833318799
6;14.1749963764582
7;35.0672747151972
8;14.6682557572593
9;14.4970266618453
10;13.7926032453119
11;14.0198417080591
12;15.9733834007109
13;13.993756221183
14;15.2012064184302
15;17.3666263966173
16;36.3521783806501
17;13.9234434477378
18;17.4386254426585
19;13.9107138841417
20;35.004979779766
21;13.7896177612027
22;14.6682557572593
23;14.0204337191088
24;17.3666263966173
25;20.6394915135591
26;14.6503315210232
27;14.24792063289
28;15.0466443355912
29;16.074348578749
30;17.3601677891197
31;13.7482752879235
32;34.3075349518121
33;34.9337014356644
34;13.9635936488955
35;13.968726762393
36;17.4497837280016
37;14.0058313715562
38;14.3220540986262
39;14.4854668983611
40;13.7769596114923
41;25.3013716857356
42;17.329253572428
43;35.0672747151972
44;34.9468211003507
45;13.9097977740736
46;13.9591034844868
47;14.0295582736112
48;35.005270901709
49;14.7677608617508
50;13.7926032453119
51;34.9070713077694
52;17.3601677891197
53;34.8778278892209
54;14.6682557572593
55;14.0412281072285
56;13.9738428401929
57;20.7271145184833
58;13.7886069709552
59;13.8936052837476
60;34.503552249375
61;34.9201909724556
62;16.0469635372927
63;13.9378441145886
64;16.074348578749
65;17.3601677891197
66;14.7453191797948
67;14.0198417080591
68;14.2802269128395
69;17.5093813318048
70;13.8435951869626
71;14.0151426203524
72;17.2943060084426
73;14.7218864715917
74;14.3640000418728
75;17.4384761963638
76;34.9016187379068
77;14.6682557572593
78;14.265083934902
79;14.0151426203524
80;17.3601677891197
81;34.3285414896561
82;15.9745077917102
83;15.0959406009262
84;13.9959236758521
85;14.0209655230039
86;14.7599364534319
87;14.7551834360233
88;16.0434129794551
89;14.6650012692888
90;17.3314730882792
91;15.06859925666
92;15.8911738135738
93;16.0820808442128
94;14.6966741480589
95;13.993756221183
96;36.3521783806501
97;14.0494764736632
98;14.057360408332
99;34.9468211003507
100;13.9673841180727
