Run;Error
1;56.6975041968194
2;58.4630077925606
3;58.1416228051997
4;60.8875341516124
5;33.4412140500131
6;33.7952038618737
7;33.716719409744
8;61.0912809281962
9;33.9327204681594
10;33.6640558722455
11;57.5432895063391
12;33.8951266343458
13;33.0620595235376
14;59.4702421310691
15;34.0705311359659
16;56.7488887634772
17;33.112069699779
18;56.705653506031
19;33.62369870072
20;33.8890116009385
21;33.7497718735781
22;33.1002631603557
23;60.9071089346338
24;33.5645388850571
25;60.2709983962653
26;33.3617762612871
27;60.0508582671528
28;33.8286443645211
29;59.6608356700028
30;33.5350004453601
31;27.3095769731608
32;33.970720774195
33;59.8425079472742
34;33.4063335129093
35;34.3566246772798
36;33.8477714433378
37;33.9332913662501
38;59.4122952819423
39;33.8356626988852
40;60.5707235026685
41;33.8508071515223
42;60.5890881259217
43;33.3255036211168
44;59.5516731305846
45;33.6628533742003
46;61.4863978723557
47;33.9534561512467
48;33.1377210115327
49;33.6677305025877
50;33.9497799394509
51;59.8771309587127
52;33.9485935966772
53;61.8215694862269
54;56.2810333119196
55;33.9583585116024
56;61.1623845433877
57;33.9810958338512
58;62.0462728609749
59;34.1363919403292
60;33.9229038411262
61;34.1325028366615
62;33.8795861978817
63;34.3020813375709
64;33.6620545409151
65;60.6631367897806
66;33.2608264275952
67;56.5383169934348
68;33.8688703308336
69;56.3191237945496
70;33.6601987158541
71;57.3348826592839
72;34.0939441078677
73;61.9593238276183
74;33.868134755919
75;34.084143661694
76;34.0809606537194
77;33.4289447036955
78;60.5585318123184
79;34.0818256988429
80;59.7419979951463
81;34.0597304135199
82;59.5414380914657
83;33.1065957542766
84;61.551385444146
85;34.1301093906162
86;60.0945011015012
87;33.601941657298
88;13.3488049828559
89;33.8483775897343
90;33.3560700233538
91;33.944282148585
92;34.1215240271134
93;33.3727320142728
94;34.2322512426536
95;33.6617370831742
96;33.4851406658438
97;33.6201241220135
98;33.4315396113327
99;33.78603550121
100;33.6245655680149
