Run;Error
1;23.8864804664831
2;24.4808191834871
3;23.9378351381906
4;23.9926160086443
5;24.2021930614877
6;23.5857083386246
7;23.7933218409461
8;23.7352793649492
9;23.6474155372997
10;23.8593719246057
11;24.282151295183
12;24.1008547118603
13;12.8581563098508
14;12.0877787566449
15;13.0547746484496
16;24.777351113323
17;24.1218662484405
18;23.7352793649492
19;23.9665912677447
20;24.233714180123
21;24.0981486085033
22;23.8992975579422
23;24.2593467382824
24;23.959810005274
25;24.4921087331872
26;23.9102429569916
27;23.5490606384172
28;23.5439278708808
29;24.4808191834871
30;24.0512021026072
31;23.9101137779301
32;23.9617010892013
33;24.444293377263
34;24.0252140024312
35;24.1186430172956
36;23.8717897222898
37;23.7257298465018
38;13.9267228761919
39;23.7295743346265
40;23.7104122994149
41;23.7963788700219
42;11.8608786513931
43;24.2666152892704
44;24.0480785554365
45;23.8228882732967
46;23.8608702038705
47;23.5042699418574
48;23.9665912677447
49;23.9526196803973
50;24.141079517235
51;24.5998729565755
52;24.0207184423183
53;23.9665912677447
54;23.5872937947036
55;24.1227286905151
56;24.2021454086098
57;24.0392440370394
58;24.126998658887
59;23.8331302482558
60;24.3939848737597
61;23.9046930740165
62;23.7059088150057
63;24.4647982241476
64;23.8028958533866
65;23.9617010892013
66;23.5827534382403
67;23.9248367622335
68;23.8335608524458
69;24.3413210189903
70;13.0543674614251
71;24.309302375656
72;24.5392242814735
73;23.9802258937188
74;23.8800653364585
75;23.9559571003981
76;24.2825185585857
77;23.6913628162637
78;23.638074490455
79;23.5361926638193
80;24.3096005405037
81;24.1400292842801
82;24.3771857792405
83;11.8876510397053
84;23.8335608524458
85;23.771069961993
86;23.9435302946832
87;23.8908547654284
88;23.8885769040285
89;23.860811268043
90;24.3674068959001
91;13.9703266350965
92;23.724671472069
93;24.218340297087
94;14.8091476670624
95;23.4712835677353
96;24.2593467382824
97;23.9823258731978
98;23.9908367183791
99;23.6316211642575
100;24.0732467656854
