root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;4199977
1;1;0;1;1;1;1;0;0;1;0;0;1;1;0;1;0;4558457
1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;0;0;5153651
1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;4219809
1;1;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;3011032
1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;3386193
1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;3682978
1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;1;0;4052479
1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;0;0;4206988
1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;0;3836701
1;1;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;3251315
1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;0;1;4141117
1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;4976374
1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;3755414
1;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;1;3781122
1;1;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;3936958
1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;3716916
1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;4597833
1;1;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;3392862
1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;3564410
1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;1;0;3494839
1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;3416505
1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;0;4048590
1;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;3693712
1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;0;1;3693712
1;1;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;3769497
1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;4058770
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;4449132
1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;4990393
1;1;1;0;0;1;1;0;1;1;1;0;0;1;0;1;0;3731172
1;1;1;0;1;1;1;1;0;1;0;0;1;1;0;1;0;3847529
1;1;1;0;1;0;0;0;0;1;0;0;1;1;1;0;0;3976673
1;1;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;4216185
1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;4976374
1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;4449132
1;1;0;0;1;0;1;0;1;1;0;0;1;1;1;0;0;4306106
1;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;3918711
1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;3943687
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;4438499
1;1;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;4286283
1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;3649716
1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;4079635
1;1;1;1;0;0;1;0;0;1;0;0;1;1;1;0;0;4848432
1;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;4048590
1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;4025898
1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;4324867
1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;3495649
1;1;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;4306106
1;1;1;0;1;0;1;1;0;1;1;0;0;1;0;0;1;3779452
1;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;4646288
1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;1;0;4108045
1;1;0;1;1;1;1;0;1;1;0;1;0;1;0;1;0;4555231
1;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;3415856
1;1;0;0;0;1;1;1;0;1;0;0;1;1;0;1;0;3891896
1;1;0;1;1;0;0;0;1;1;0;1;0;1;0;0;1;3885093
1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;1;0;3429292
1;1;1;0;1;0;1;1;1;1;0;0;1;1;1;0;0;4139973
1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;0;1;4450588
1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;3351200
1;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;3127754
1;1;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;3459963
1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;3332749
1;1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;2992619
1;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;4083055
1;1;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;3212658
