Run;Error
1;54.5764187901528
2;57.0488991077512
3;57.5159469948074
4;57.2569929259385
5;32.5456753123339
6;32.0306856247528
7;32.4667050455966
8;56.9048724330889
9;32.704040983548
10;32.1105631547462
11;57.2096285734759
12;32.1823443473418
13;32.3209566554712
14;56.4921211766254
15;32.3479123863557
16;57.8711264194106
17;32.3803036763083
18;57.7214399618343
19;32.110058795349
20;32.1037219617946
21;32.4692275115374
22;32.3566236892572
23;56.7596072072306
24;32.1670547792375
25;57.1163942850985
26;32.6416186622751
27;56.6948006454895
28;32.1212179991802
29;57.5447207745088
30;32.2146022712591
31;35.278595035712
32;32.1446695655013
33;57.5404243718099
34;32.2159668732047
35;32.6663229515353
36;32.1065103683556
37;32.0763888555955
38;58.3637188425624
39;32.1004300616063
40;57.6102626938379
41;32.1524148468466
42;57.1083037116003
43;32.3121516148345
44;57.095441714875
45;32.4386740502481
46;57.1342442245191
47;32.1300705878135
48;32.4175435720098
49;32.2442313406878
50;32.2756756857682
51;57.0677630839553
52;32.0880233369021
53;57.9515109644014
54;56.6455797035554
55;32.1212235676214
56;56.4975633916292
57;32.2057868077826
58;55.7646200347938
59;32.393674769159
60;32.0850698961757
61;32.1015814658526
62;32.1991006940863
63;32.1664299968235
64;32.0440629539702
65;57.0590514755339
66;32.2188778077393
67;56.8436070230258
68;32.676215654119
69;56.6819022516717
70;32.3678547919169
71;55.4433709107682
72;31.9628986080975
73;56.6615494323032
74;32.0546460387297
75;32.2929783301826
76;32.2862917955483
77;32.2358914062409
78;56.588158540722
79;32.0415044524118
80;56.9874046680731
81;32.4287571681525
82;56.8041602523766
83;32.3632046506705
84;57.4418515900126
85;32.4447377407947
86;57.8265081212211
87;32.1687496833174
88;23.2324672693026
89;32.3633821927017
90;32.1109871195658
91;32.2822857038389
92;32.279233381837
93;32.3148010719603
94;32.1452440755865
95;32.3923984354694
96;32.7515958027519
97;32.4340540745316
98;32.2071184559441
99;32.0947347604822
100;32.1562045778879
