Run;Error
1;4.25765568964094
2;4.11352699519285
3;4.35448902500422
4;4.1489997594268
5;4.20552266626583
6;4.25939419704951
7;4.36737506424663
8;4.28774403274941
9;4.154993213144
10;4.16027773579255
11;4.34333713250465
12;4.24397829908269
13;4.10126871315223
14;4.38656180868157
15;4.11022431144574
16;4.41749695734168
17;4.13856002610072
18;4.09748290972794
19;4.2036458243984
20;4.13214613986786
21;4.16340708426393
22;4.16403652185671
23;4.1800847797376
24;4.13297773730172
25;4.18339216220737
26;4.2507254054959
27;4.09055895302253
28;4.17492245594831
29;4.10371145082124
30;4.09292807247936
31;4.10866653873928
32;4.07134788012431
33;4.14204481318111
34;4.27216825826888
35;4.11669672743733
36;4.33277451817254
37;4.37141098667407
38;4.10289343429745
39;4.16868143325415
40;4.13093538750498
41;4.16379449206175
42;4.14495607701816
43;4.24331287898366
44;4.15128074721743
45;4.18545952850019
46;4.14554203221687
47;4.0855082751663
48;4.36362697808011
49;4.15666714563827
50;4.30526080979012
51;4.32869651805748
52;4.09756679254848
53;4.13444217864813
54;4.24510307732685
55;4.12624540749485
56;4.11506864678748
57;4.24320282345283
58;4.15705953026916
59;4.18081683437132
60;4.18108261106513
61;4.11226493563769
62;4.23690378934204
63;4.2912751847834
64;4.17697010082548
65;4.12725607094524
66;4.10230707355603
67;4.17342766865373
68;4.23622851741902
69;4.11394342507222
70;4.10686190709532
71;4.28491291986363
72;4.14401104828998
73;4.28453228316962
74;4.24797890439699
75;4.1736325672489
76;4.12567722503707
77;4.14276527526226
78;4.16133891919011
79;4.28531858348368
80;4.11203328877064
81;4.10851503395565
82;4.21521842793431
83;4.18057956140205
84;4.17722864499714
85;4.21411191210711
86;4.1978737376348
87;4.14988267394738
88;4.09574519459895
89;4.08770008391783
90;4.17399173314837
91;4.14256591415355
92;4.22817876613076
93;4.18841295998642
94;4.27312642544267
95;4.10376106886692
96;4.24103417860618
97;4.32346631412854
98;4.23648616507413
99;4.19911113031323
100;4.14370507376554
