root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;1;1;0;1;0;0;0;1;0;0;1;1;0;1;0;2710087
1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;2708101
1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1829241
1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;2612616
1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;2612337
1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1636790
1;1;0;1;1;0;0;0;0;1;1;0;0;1;0;1;0;2784678
1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0;1777364
1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;2722587
1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;2728503
1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;1;0;2780959
1;1;0;1;0;1;0;1;1;1;0;0;1;1;0;0;1;2800231
