Run;Error
1;12.1450719082998
2;11.2273991721739
3;16.2931965522139
4;11.7456460641088
5;11.507708693977
6;11.3857165408786
7;11.9166722629517
8;11.6973369899625
9;12.0309528084226
10;11.4246943637617
11;12.6363120340783
12;12.2375439777598
13;13.4406156425995
14;15.2232264683601
15;12.003100012571
16;11.9751019527413
17;10.7557220227572
18;12.2048789023709
19;11.9455882456917
20;11.5945910791314
21;11.5472353594503
22;12.0738362450688
23;12.024878170935
24;12.0559290981027
25;11.5628276970298
26;11.5689438339972
27;11.8858722848092
28;11.3897145894692
29;12.0306893704326
30;12.2583355560344
31;11.9076873760264
32;11.7027494777587
33;10.8044192868787
34;12.2200453101011
35;11.7968559860941
36;11.4326363375698
37;14.7527493262466
38;11.2031622977714
39;12.1295969716828
40;11.2366890153686
41;11.5629864867793
42;11.8830002931052
43;12.2793345684271
44;11.8154078121845
45;12.0344941325686
46;11.8196029247385
47;13.077631096378
48;15.5349045627727
49;12.1861535539563
50;11.9867353378465
51;10.6597370005293
52;12.1043934923536
53;40.5047334569796
54;12.0492668488951
55;11.6464833673843
56;34.7046500995762
57;11.8805861775422
58;12.0432733910659
59;11.8480632584436
60;11.8584126274649
61;11.9192444228303
62;11.2034395680991
63;11.6758993447677
64;11.982439058727
65;12.0129540721198
66;11.2802326357987
67;11.5383890398489
68;12.686622600272
69;12.0664969453591
70;11.9536388578154
71;15.0019905483801
72;11.4645091925908
73;11.9722330367295
74;11.7748184628566
75;12.0112162874379
76;11.8100572168893
77;11.6542463447859
78;10.8934286198186
79;12.2911386123891
80;12.0124253923763
81;12.6620397313283
82;11.7040789630794
83;11.7772153895573
84;12.1783098208675
85;11.867440730066
86;11.9623724438203
87;12.1912232116376
88;12.0389638623815
89;11.6137047515752
90;12.0636173656815
91;12.0464669550178
92;12.1676522487982
93;12.2390213365506
94;11.9828575594085
95;11.9837624736593
96;12.2621336276416
97;12.180786842716
98;12.0597732280369
99;11.3973860271892
100;12.0063477224165
