Run;Error
1;9.14471421241437
2;9.14513950117388
3;9.09597715284575
4;9.01131082160621
5;9.04487365961207
6;9.18396403181324
7;9.18774380922167
8;8.98701418501885
9;9.22270484890333
10;9.04845194641773
11;9.19530098901373
12;9.23066726837084
13;9.12818256411606
14;9.01961035336827
15;9.08476602406373
16;9.16305231120336
17;9.22121848529077
18;9.20079102258589
19;9.20255512976999
20;9.14078715177525
21;9.11923133492846
22;9.14259317950522
23;9.14813860466869
24;9.24422446348227
25;9.1133933776274
26;9.07403656176681
27;9.17659529359975
28;9.23739537656611
29;9.206868173921
30;9.1451162682957
31;9.214849739247
32;9.16852672343054
33;9.22689600667712
34;9.39102285260788
35;9.25403691356134
36;9.31632718796369
37;9.26034261511884
38;9.2172469297859
39;9.21223844600448
40;8.19766310777913
41;9.07719666221526
42;9.08170843309897
43;9.13462629731209
44;9.09056466115299
45;9.10769047789732
46;9.19204348237014
47;9.3669488354206
48;9.02351656189145
49;9.00030330229454
50;9.39669795734563
51;9.12190693896071
52;9.19998834493008
53;9.08911398851493
54;9.09821260606024
55;9.19732426741572
56;9.21462898172004
57;9.09244713406816
58;9.12012869828018
59;9.16089251011913
60;9.1103875554084
61;9.08708333125305
62;9.0642385547929
63;9.07832405554642
64;9.23745654772586
65;9.19922746146584
66;9.21405298948726
67;9.09745715211008
68;9.1582004522412
69;9.26731250633884
70;9.10681210647796
71;9.07781469348575
72;9.10111376972741
73;9.2289137189583
74;9.16250762644119
75;9.37790900103768
76;9.05963023048159
77;9.1178124973441
78;9.20315265755419
79;9.14791881412623
80;9.02629117641587
81;9.25484372517454
82;9.21322278078213
83;9.05738449474907
84;9.20577892020265
85;9.10397762507183
86;9.09911287179056
87;8.99586065784167
88;9.20995624791924
89;9.14116466375065
90;9.03312613541232
91;9.17978773758937
92;9.34728506739503
93;9.21514972414263
94;9.17638207662975
95;9.21232802391532
96;9.14702071807881
97;9.07657503230857
98;9.0802948200747
99;9.15889983528186
100;9.11675330532013
