Run;Error
1;9.56270302367166
2;9.57492006695878
3;9.56743858318843
4;9.58850766443173
5;9.60481747980236
6;9.56753654750913
7;9.56750578810952
8;9.56507921700153
9;9.56214687276992
10;9.57397904000249
11;9.60258904265831
12;9.58022401021292
13;9.54010960912427
14;9.54342045986926
15;9.54952130222912
16;9.5953972998015
17;9.58114219134945
18;9.56969514457651
19;9.57971746320413
20;9.58746182550586
21;9.59709301497027
22;9.56344697484242
23;9.5886989640751
24;9.57791996323314
25;9.60519655733942
26;9.57530545743145
27;9.54681193020863
28;9.54615100609039
29;9.58177057229716
30;9.59760720763675
31;9.5720372823912
32;9.581491831754
33;9.60050776359245
34;9.60784404909885
35;9.5669273929133
36;9.56357420691235
37;9.54366949733427
38;9.5553573616839
39;9.56723273656159
40;9.55556842864228
41;9.56025792180906
42;9.56053279925996
43;9.56818410160616
44;9.58046575085323
45;9.58933150424956
46;9.56915919428929
47;9.54759719913681
48;9.58374981601625
49;9.5645664709705
50;9.58746624685257
51;9.59981562691717
52;9.57850696324841
53;9.5773064208137
54;9.55937076809538
55;9.57002700767856
56;9.56432790368149
57;9.56989802300732
58;9.56827357770131
59;9.56851380893069
60;9.58465467046535
61;9.56962120700806
62;9.57105772069412
63;9.60904582748753
64;9.57105337760137
65;9.55472733624482
66;9.56146806455863
67;9.56743858318843
68;9.5656131453792
69;9.59713035630659
70;9.56036467431618
71;9.58725226993079
72;9.60486515987162
73;9.59526994936057
74;9.58007447223216
75;9.57738027287994
76;9.60519530257857
77;9.56923712966404
78;9.55501329847319
79;9.55662254183561
80;9.5872553123352
81;9.57784838074788
82;9.56736397426685
83;9.55138596466876
84;9.56839130276924
85;9.56764407818683
86;9.57466313247466
87;9.56439162452678
88;9.56662096381143
89;9.57149969486155
90;9.59691432602531
91;9.53201249012215
92;9.57105772069412
93;9.57934732505667
94;9.54190693069643
95;9.57507563340894
96;9.5882972736891
97;9.59800114482849
98;9.55516930112433
99;9.56767469539667
100;9.58760853377864
