Run;Error
1;9.44639940720757
2;6.87371788701002
3;9.32995284818349
4;6.33226679406193
5;8.33549901531597
6;8.30380945890022
7;8.29224566850741
8;9.66119576795729
9;8.52440123938547
10;9.12096822351094
11;9.89375460102136
12;8.29947481767012
13;9.26028001179153
14;8.25461318319624
15;9.98507499850033
16;9.46725433395473
17;9.89630218212067
18;8.56411414726157
19;8.14502459400249
20;8.99038740935297
21;8.46481891125495
22;9.47751356441499
23;9.17876297535658
24;9.13681041244695
25;8.11622970702311
26;6.03855900610831
27;8.81849620438548
28;8.35856010921773
29;8.33769076603849
30;9.97482908912671
31;8.21559018065936
32;9.47499671866867
33;7.44512507316371
34;8.89705474225001
35;8.43042086653272
36;8.38099039065229
37;9.23659306735158
38;9.75334054649965
39;11.3381856162106
40;8.30951976261154
41;6.53408624348484
42;8.82864439185784
43;8.63139594867448
44;8.64762370863144
45;8.55515641913625
46;8.5058808122813
47;8.7945381090227
48;9.50392442052439
49;8.47486244346489
50;8.27605771446934
51;8.20549579919754
52;8.93721076766853
53;8.27777029741875
54;8.71275696708178
55;8.39677311884872
56;8.49983788292326
57;9.85661310852879
58;8.10426683283301
59;8.36927658911024
60;8.23667958510159
61;8.32670679714968
62;8.22624880845125
63;9.34761074302148
64;8.99885386244325
65;8.10983504662981
66;8.79502331791276
67;8.28333197338826
68;9.02213673213375
69;6.06910242130229
70;8.63221605185039
71;8.40365938151862
72;8.21444338892596
73;8.42917965978432
74;8.47318417837585
75;8.33513806105394
76;8.09662342682609
77;8.56345568819414
78;8.16209576670383
79;9.07583417496755
80;8.25609953125508
81;6.0824392256694
82;8.12575764753796
83;8.12561327307772
84;9.2375746691349
85;8.42659403404371
86;8.34365876621663
87;8.33766069984104
88;8.56922689691952
89;8.64214387319818
90;8.42120276598945
91;10.1116401392339
92;8.33944209340709
93;8.67609374096907
94;8.74850018198372
95;9.02246878083982
96;8.11879628919229
97;9.80670140106754
98;8.53640636005218
99;8.24077972172399
100;8.96449911737986
