Run;Error
1;13.1662326864229
2;7.63073280336825
3;8.15068529224515
4;7.63073280336825
5;7.4407362922476
6;7.4407362922476
7;7.37436776113234
8;8.48955065546099
9;7.4407362922476
10;7.4407362922476
11;7.48671435414242
12;7.4407362922476
13;7.4407362922476
14;8.15068529224515
15;7.4407362922476
16;14.2685163874467
17;8.16702038542847
18;8.15068529224515
19;7.20073456599499
20;7.4407362922476
21;7.4407362922476
22;12.8380726235515
23;7.58962694429681
24;12.8380726235515
25;7.46208977159866
26;7.4407362922476
27;7.46208977159866
28;7.4407362922476
29;8.15068529224515
30;8.78900064942966
31;8.15068529224515
32;7.4407362922476
33;7.63073280336825
34;7.4407362922476
35;13.4369648554623
36;7.4407362922476
37;12.8380726235515
38;13.5903685620412
39;7.4407362922476
40;7.48671435414242
41;7.4407362922476
42;7.48671435414242
43;7.4407362922476
44;7.63073280336825
45;7.4407362922476
46;7.63073280336825
47;11.1628445018134
48;7.4407362922476
49;11.9431910743696
50;7.4407362922476
51;8.2424732116141
52;7.4407362922476
53;7.48671435414242
54;8.15068529224515
55;7.4407362922476
56;8.15068529224515
57;7.4407362922476
58;11.002312620898
59;7.4407362922476
60;7.4407362922476
61;7.4407362922476
62;7.4407362922476
63;7.4407362922476
64;7.4407362922476
65;7.46208977159866
66;7.4407362922476
67;9.72243346934478
68;7.4407362922476
69;8.15068529224515
70;7.4407362922476
71;13.1662326864229
72;7.4407362922476
73;8.15068529224515
74;7.20073456599499
75;7.4407362922476
76;7.4407362922476
77;7.1934129091791
78;7.46208977159866
79;7.4407362922476
80;7.46208977159866
81;7.4407362922476
82;7.22459156034322
83;7.20073456599499
84;7.63073280336825
85;7.4407362922476
86;7.63073280336825
87;7.4407362922476
88;9.77200470096009
89;7.4407362922476
90;7.4407362922476
91;7.4407362922476
92;7.4407362922476
93;8.19346969722226
94;7.4407362922476
95;7.4407362922476
96;7.4407362922476
97;7.4407362922476
98;7.4407362922476
99;7.4407362922476
100;7.4407362922476
